"","SID31004","SID31009","SID31021","SID31030","SID31071","SID31112","SID31129","SID31137","SID31159","SID31160","SID31188","SID31219","SID31223","SID31233","SID31236","SID31237","SID31256","SID31267","SID31275","SID31276","SID31282","SID31285","SID31300","SID31328","SID31333","SID31337","SID31343","SID31360","SID31367","SID31379","SID31398","SID31416","SID31424","SID31428","SID31431","SID31446","SID31449","SID31450","SID31452","SID31455","SID31477","SID31489","SID31493","SID31501","SID31512","SID31519","SID31537","SID31549","SID31557","SID31582","SID31637","SID31685","SID31700","SID31705","SID31711","SID31714","SID31723","SID31749","SID31750","SID31766","SID31865","SID31866","SID31868","SID31870","SID31871","SID31872","SID31873","SID31874","SID31875","SID31876","SID31877","SID31878","SID31879","SID31880","SID31881","SID31883","SID31884","SID530002","SID530018","SID530026","SID530028","SID530039","SID530041","SID530050","SID530052","SID530054","SID530055","SID530074","SID530075","SID530119","SID530142","SID530154","SID530163","SID530167","SID530168","SID530172","SID530177","SID530185","SID530215","SID530227","SID530251","SID530258","SID530262","SID530295","SID530297","SID530315","SID530323","SID530331","SID530348","SID530364","SID530368","SID530373","SID530394","SID530398","SID530403","SID530444","SID530450","SID530451","SID530558","SID530600","SID530623","SID530697","SID530705","SID530743","SID530756","SID530840","SID530867","SID530890","SID531128","SID531155","SID531248","SID531274","SID531277","SID531281","SID531333","SID531352","SID531361","SID531382","SID531403","SID531414","SID531416","SID531424","SID531469","SID531663","SID531766","SID531775","SID532305","SID532749","SID532779","SID532796","SID532802","SID532826","SID532832","SID532915"
"Chlamydiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobacteriales",0,0.41979,0,0,0,0,0,0,0.01898,1.24964,0,0.33046,18.2077,0,0,0,0,0,0.8515,1.81116,0,0.00376,1.55288,0,0.61834,0,0,0,0.09187,0,0,0,0,0,1.02406,0.00097,0,0,0,0,0.03589,3.13592,0.03949,0,0,0.37588,0,2.95346,0,2.80051,0.00146,20.40278,2.50721,0,0,0,0,1.90472,0,0,0.0194,18.16472,0.93615,0.00521,0,0.00348,0.05806,0.27973,0,0,0.04904,0,2.15906,0.69475,0,0.01617,3.44612,0,0,0.77977,0.9581,0,12.35084,0,0,4.52731,1.69584,0,0.14605,0,0,0,0,0,0.01817,0,0,10.99006,1.87811,0,0,0,0,17.59442,1.92192,0,0.03237,0.58322,0.02464,0,0,8.71249,0,0.01924,0,0,1.02145,2.36198,0,5.55181,2.79129,0,0,0.01833,0,8.94125,0.25673,0.08427,4.46525,0.02426,0.05471,0.08882,0.20173,0,0.00458,4.29241,0.02069,0.66969,0,0,0,0,0,1.05562,0,0,0,0,0,0,1.00796,0,0,17.16474
"Bacillales",0.21801,0.00924,0.01192,0,0.0119,0.03493,0.02202,0,0.03114,0.00253,0,0,0.07335,0.02213,0.00116,0.01238,0.04901,0.02311,0,0,0.01231,0,0.01282,0.02105,0.00411,0,0.04213,0.00838,0.00629,0.17273,0.50516,0.01648,0.09374,0.01762,0.00475,0.08433,0.03068,0,0,0,0.07075,0.1567,0.05215,0.00227,0.03341,0.06182,0.04431,0.01029,0.01592,0.00372,0.07423,0,0.05792,0.0305,0.00312,0.03649,0.00145,0.00452,0.03888,0,0.0543,0.01387,0.51205,0.11731,0.05164,0.00311,0.07858,0.00277,0.05918,0,0,0.03337,0,0.02199,0.04559,0.10048,0,0.01161,0.0199,0,0,0,0,0,0.0121,0.00316,0.00189,0,0.01266,0.00919,0.0153,0.14108,0.03325,0.0082,0.01433,0.02469,0.02517,0.01054,0,0,0.01136,0.09756,0.01799,0,0.01027,0.00771,0.00887,0,0.02887,0,0,0.36573,0,0,0.11961,0,0.02566,0.00211,0,0,0,0.0056,0.20854,0.00422,0,0.00173,0,0,0,0.01955,0.04536,0.00311,0.01103,0.05543,0.00513,0.00378,0.00082,0,0.01432,0.01595,0.01785,0,0.09044,0,0.00637,0.03055,0,0,0.00608,0.00356,0.00142,0.12932,0,0
"Lactobacillales",14.56,13.29018,1.47954,2.11212,1.04787,0.759,4.17507,2.12267,0.61432,0.34995,0.06188,2.21333,0.05747,6.59078,0.66596,0.64728,1.21619,0.4352,0.03159,0.14987,0.21382,0.61594,1.80373,4.90168,0.33527,5.60995,19.60705,0.36868,4.24664,13.07233,9.91616,0.24028,0.76503,0.14922,1.16781,2.93265,1.69837,0.02738,1.30624,0.73858,1.22992,0.69251,0.62214,0.48286,0.08208,1.27664,9.39076,0.11064,7.76726,6.91792,1.20121,0.04596,1.37227,46.7977,1.40277,2.22853,1.72527,0.38422,0.56969,1.6793,1.65698,2.40927,5.20902,2.1351,0.1054,0.36778,0.10239,0.15009,0.40505,2.95069,0.05627,0.26102,0.10977,4.72036,0.41923,0.46203,0.35417,0.3217,0.2899,1.28095,0.85233,0.02141,1.20264,14.06048,1.48419,0.60767,0.42178,1.03869,2.51516,3.58,0.55265,8.12052,24.00148,4.67056,0.96681,7.67556,2.57888,1.24106,0.3,0.04171,5.90494,2.78951,1.43723,0.21506,2.20578,5.51698,0.02354,0.41363,0.97809,0.06716,2.58569,1.89458,0.26852,0.13472,1.86994,1.20063,1.15941,36.98191,0.37951,0.36393,0.03704,0.54986,2.75632,1.25981,0.36795,2.64734,0.34373,1.26193,1.95197,9.16926,1.2408,5.02996,0.08152,8.36547,0.32434,0.90009,0.13578,0.28696,0.08353,0.07176,0.19886,1.32007,3.4804,0.00122,0.10389,0.71633,0.27258,0.73165,1.36903,0.68645,0.93303,1.32879,0.56725,0.30114
"Eubacteriales",56.06739,67.91519,57.9164,35.8086,68.02588,44.62161,38.16813,85.91139,28.86678,82.62374,72.71037,57.9499,18.96433,69.00195,70.91387,68.47846,56.30707,73.65068,39.31855,83.38084,70.39445,59.13388,62.5053,64.26755,59.08725,71.45167,7.13245,57.37717,12.57118,67.122,76.1115,81.81274,70.77871,87.62064,59.12847,39.32791,80.3999,14.65117,61.3286,54.8377,68.02637,73.01044,40.73434,80.40803,64.91751,65.44778,58.5325,66.71397,18.11622,55.63768,56.18655,56.11018,57.70244,10.07856,92.77607,28.32865,90.50206,60.4613,59.4264,90.70959,79.02137,21.56075,32.8283,57.01459,61.561,42.09193,47.11415,31.92295,62.50125,27.39076,45.74355,40.95621,11.60672,29.66642,45.50801,23.0307,13.69063,87.22128,42.59284,30.03838,47.66035,86.38766,25.84998,44.34257,43.89773,25.45055,66.04767,31.37473,33.06979,33.90551,90.68511,54.06442,58.24045,57.54669,82.78932,74.44942,82.02509,49.08188,39.60874,79.38428,84.65337,67.63397,54.46461,42.4132,61.56653,35.23734,54.68071,75.22977,28.23042,46.04258,35.93615,49.47482,54.92491,79.92128,65.31466,61.63219,52.40119,36.96474,69.6628,35.92212,56.37817,62.70603,51.26477,45.16035,38.54299,18.93858,57.10155,65.48711,34.29867,77.24031,24.88297,0.61391,50.32998,45.07949,64.70826,45.08214,22.83345,21.39166,43.42465,69.45172,52.45144,3.14754,61.9397,50.84853,32.02863,83.27462,36.14855,58.61455,64.28027,49.2518,71.56145,75.17106,68.24619,29.13357
"Erysipelotrichales",2.26365,0.03183,0.34169,0.07925,0.00086,5.86757,0.73033,0.60875,0.00861,0.23782,12.2593,0,0.02254,8.38118,0.17545,3.40142,0.51151,4.46146,14.02724,0.02509,1.64723,0.09073,0.6168,0.03548,0.90959,4.41731,0.00855,1.99374,0.49769,0.14703,1.40734,1.32053,0.03358,1.11814,0.29171,4.2983,1.39183,2.50235,0.55426,0.19603,1.01748,0.10531,1.02841,8.96474,0.05073,0.76142,0.27686,0.04692,3.00054,0.83231,0.10079,0.41691,2.87301,1.27494,1.68613,0.08419,0.3661,0.01543,9.62876,0.2419,0.25906,0.66481,0.48299,1.94425,6.75395,0.77746,4.68499,0.07628,4.73105,0.84329,1.28492,0.13554,0.29019,0.60631,0.9104,1.31458,0.38021,2.76278,3.94651,4.3413,3.19019,0.07426,1.96869,3.71811,0.15121,0.64758,0.02014,0.50893,0.2115,0.10422,0.40189,5.5965,0.91571,3.60106,0.25846,0.00683,0.17358,0.01677,0.46094,0.5234,3.58535,0.01494,0.36519,0.09137,0.05796,0.00663,0.42033,1.10127,0.2191,0.19378,0.56347,4.7373,0.22254,0.04231,0.32953,1.68297,1.40609,1.20933,0.35198,0.59568,1.56671,0.35767,0.6993,0.00435,5.27095,1.17316,0.08697,0.42365,1.05477,0.15681,0.04906,0.36018,0.11897,6.37937,0.56312,1.67261,0.16938,0.47358,3.03073,0.0282,0.28286,0,0.6708,0.14323,0.18251,2.72499,0.22633,1.67758,0.0367,0.45155,1.25668,5.18263,0.0134,0.3691
"Acidaminococcales",0.73251,0.00461,0,0,0.76764,0.0862,0.00222,0,0,2.61568,0.25954,0,1.23101,0,0.40858,0,0,0.13815,1.36222,0,0,0,1.19053,0.21034,0,0,0.01988,0.00612,0.09404,0,0,0,0,0,0,0.05677,0.00725,0.98611,0,0,0,0,0.09411,0,0,0,0,0.00534,0,0,0.00816,0.06685,0.01474,0,0,0,0,0,0.17887,0.04354,0.00817,0.01711,0.20845,0.00512,0,0.16,0.55761,1.31323,0,2.15581,0.01104,0.00283,0.03295,0,2.32155,0,0,0,0,0,3.94082,0,0.00105,0,0,0.25232,0.1392,0,0.0176,0,0,0,0.00037,2.00099,0,0,0.07009,0,0.0598,0.15046,0,0.12757,2.72646,4.8341,0,0,0.00251,0.39262,0,0.21321,0,0,0,0.00034,0.00199,0,0.0406,4.58597,0,0,2.20652,0,0.80419,9.95694,0,0,0,0.98784,2.21899,0,0.05656,0.01625,0,0.04118,0,0,0,1.47356,0,0.42927,0.12304,0,1.81272,0,0,0.00081,0,1.97571,0,0.77847,0.15365,0,0,0.28562
"Selenomonadales",0,0,0,0,0,0,0.0363,0,0,0,0.00906,0,0,0,0.20917,0.00952,0,0,0,0.00425,0,0,0,0.01918,0,0,0,0.07082,0.00368,0,0.01511,0,0,0,0,0,0,0,0,0,0.0509,0,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00496,0.34759,0,0,0,0,0,0,0,0,0.13214,0,0.01589,0.04396,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0,0,0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0.31308,0.91903,0,0,0,0.00926,0,0,0,0,0,0,0.42219,0,0,0,0.69004,0,0,0,0,0,0,0,0,0,0,0.00212,0,0,0,0,0,0.81611,0,0,0,0,0.13773,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonellales",0.1302,0.0036,0.77795,0.18229,0.02387,0.02906,0.00886,0.0329,1.14717,0.00714,0.00144,2.91096,0,0,0,0.00266,0.34426,0,0,0,0.73145,0,0.74331,0.06702,4.01508,0,0.01246,0.42645,0.13576,0.17209,0.11839,0.00453,0.28994,0,0.84101,1.24295,0.07316,0,11.37226,7.45457,0,0.08692,0.0172,0.2277,0.21938,0.04547,0.1821,0.02579,0.05685,0.03917,0.012,0.0053,0,1.26183,0.12248,0,0.02907,0,0.00188,0,0.20279,0.33073,0.18745,0.00928,0.07429,0.33112,0.50291,0.077,0.59784,0.9005,0.04307,0.0182,0,4.54348,0.00649,1.47876,0.16873,0.00508,0,0.00941,0.02043,0,0.03653,0.4125,0.00347,0.00121,0,0,0,0.08685,0.16617,0.17281,0.02636,0.04145,0.38777,0,0,2.5115,0.32021,0.00312,0.02794,0,0.00728,0,0.06113,0,0,0.02158,0.0207,0.13437,0.49877,0.22204,0.20427,0.00843,0,0.01201,0.30086,0.12843,0.19088,0.15653,0.17117,0.29367,0.86294,0.31897,0.03529,0.13577,0.12154,0.42695,0.08985,0.19517,0.60264,0.18513,0,0.6889,0,1.16387,0.02098,0.10882,20.24778,6e-04,0.16837,0.0012,0.25778,6.37165,0.00923,2.82899,0.57829,0.00608,0.17248,1.53025,0.09939,7.2892,4.57944,2.97306
"Tissierellales",0,0,0,0,0,0,0,0,0.00826,0,0.01087,0,0.1175,0,0,0,0.00777,0,0,0,0,0,0,0,0,0.00327,0,0.00492,0,0.00412,0.01569,0,0.00044,0,0,0,0.00644,0,0,0,0,0.52721,0.01739,0.0095,0,0,0,0,0,0.00559,0,0,0,0,0,0,0,0,0.00058,0,0.00365,0.14929,0.01228,0,0,0.00631,0.42466,0.02382,0.09119,0.03715,0.0021,0.03976,0.00441,0.28932,1.39802,0.35513,0,0,0,0,0,0,0,0.00293,0.00059,0.01362,0,0,0,0,0,0.00618,0,0,0,0,0,0,0,0,0,0,0.00479,0,0,0,0.00133,0,0.00299,0,0,0.36316,0,0,0.00187,0.02041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07095,0.00412,0,0,0,0,0,0,0,0,0.06215,0,0.04845,0,0,0,0,0,0,0,0,0,0,0
