"","CCMD11006829ST.21.0","CCMD12232071ST.21.0","CCMD13071240ST.21.0","CCMD13934959ST.21.0","CCMD14479708ST.21.0","CCMD18872694ST.21.0","CCMD19497912ST.21.0","CCMD23101338ST.21.0","CCMD25511638ST.21.0","CCMD25963797ST.21.0","CCMD26709089ST.21.0","CCMD26925580ST.21.0","CCMD34381688ST.21.0","CCMD35802077ST.21.0","CCMD40701343ST.21.0","CCMD42428553ST.21.0","CCMD45988061ST.21.0","CCMD46222674ST.21.0","CCMD46947453ST.21.0","CCMD48236717ST.21.0","CCMD50071957ST.21.0","CCMD51864103ST.21.0","CCMD60079086ST.21.0","CCMD63399960ST.21.0","CCMD64503764ST.21.0","CCMD64776337ST.21.0","CCMD72895164ST.21.0","CCMD74930188ST.21.0","CCMD79987997ST.21.0","CCMD82866709ST.21.0","CCMD86114146ST.21.0","CCMD86707194ST.21.0","CCMD87156761ST.21.0","CCMD88272491ST.21.0","CCMD90311071ST.21.0","CCMD93344354ST.21.0","CCMD95433940ST.21.0","CCMD96553385ST.21.0","MMPU29365221ST","MMPU68403337ST","MMPU72854103ST","MMPU84450604ST","MMPU99077057ST","CCMD10032470ST.11.0","CCMD10191450ST.11.0","CCMD15562448ST.11.0","CCMD17410933ST.11.0","CCMD18579000ST.11.0","CCMD18829815ST.11.0","CCMD19168690ST.11.0","CCMD21593359ST.11.0","CCMD21703880ST.11.0","CCMD22852639ST.11.0","CCMD23541216ST.11.0","CCMD25475945ST.11.0","CCMD26625622ST.11.0","CCMD27463710ST.11.0","CCMD27867141ST.11.0","CCMD28738636ST.11.0","CCMD29706695ST.11.0","CCMD30626189ST.11.0","CCMD30627121ST.11.0","CCMD31009081ST.11.0","CCMD31134579ST.11.0","CCMD32288175ST.11.0","CCMD32965613ST.11.0","CCMD35081859ST.11.0","CCMD35633353ST.11.0","CCMD35801800ST.11.0","CCMD37575804ST.11.0","CCMD38158721ST.11.0","CCMD39157124ST.11.0","CCMD39882286ST.11.0","CCMD41202658ST.11.0","CCMD41521570ST.11.0","CCMD42956136ST.11.0","CCMD45004878ST.11.0","CCMD45812507ST.11.0","CCMD46727384ST.11.0","CCMD49025643ST.11.0","CCMD49461418ST.11.0","CCMD49942357ST.11.0","CCMD50300306ST.11.0","CCMD50529145ST.11.0","CCMD50538120ST.11.0","CCMD51154251ST.11.0","CCMD51228890ST.11.0","CCMD52117727ST.11.0","CCMD52145360ST.11.0","CCMD53508245ST.11.0","CCMD53522274ST.11.0","CCMD54057834ST.11.0","CCMD56948710ST.11.0","CCMD59540613ST.11.0","CCMD59583015ST.11.0","CCMD65222621ST.11.0","CCMD65406197ST.11.0","CCMD66848156ST.11.0","CCMD67373733ST.11.0","CCMD68973846ST.11.0","CCMD71242853ST.11.0","CCMD71915439ST.11.0","CCMD72666896ST.11.0","CCMD72690923ST.11.0","CCMD73128545ST.11.0","CCMD74592084ST.11.0","CCMD75147712ST.11.0","CCMD76222476ST.11.0","CCMD76409700ST.11.0","CCMD79349503ST.11.0","CCMD85481373ST.11.0","CCMD85661207ST.11.0","CCMD89107682ST.11.0","CCMD89306485ST.11.0","CCMD89643949ST.11.0","CCMD89967135ST.11.0","CCMD92404903ST.11.0","CCMD93755960ST.11.0","CCMD95431029ST.11.0","CCMD95676152ST.11.0","CCMD98198513ST.11.0","CCMD98531134ST.11.0","CCMD98702133ST.11.0","CCMD99440714ST.11.0","CCMD99929634ST.11.0"
"Bacillales",0.11879,0,0.00122,0,0,0.18275,0.06793,0.00074,0.02092,0.00309,0,0,0.04131,0.00792,0.04205,0.06111,0,0.00738,0.02462,0,0.20336,0.03371,0,0,0.00625,0,0,0.00969,0.02734,0.08074,0.01857,0.00168,0.00196,0.00948,0.00287,0,0.01059,0.01061,0.00305,0,0,0.00258,0.00184,0,0,0.00269,0,0,0,0.04414,0.86911,0.03629,0,0,0.00225,0,0.01277,0,0.01932,0,0,0,0,0.00302,0,0.00826,0,0,0.00362,0,0.00874,0,0.01167,0,0,0.40803,0.00935,0.01835,0,0,0,0.04258,0,0,0,0,0,0.02014,0,0,0,0.0024,0,0,0.0174,0.00536,0,0,0,0,0,1.0159,0,0.00414,0,0.00807,0,0,0,0,0,0,0.0033,0,0,0.03269,0,0.01706,0,0.00375,0,0.00092,0,0,0
"Lactobacillales",1.00644,0.37961,0.04638,0.36069,0.19988,2.28861,2.77367,0.76532,0.08093,0.15637,0.10206,0.02109,0.11974,0.78329,0.16038,0.5974,0.12603,0.02198,0.72692,0.10004,0.23331,0.07864,0.87176,0.88974,0.0436,0.15309,0.19254,0.6299,0.25432,0.4156,0.35113,0.82303,0.65571,0.45497,0.24755,0.05884,0.10546,0.75901,0.21644,0.05632,0.03665,0.09552,0.12087,0.84897,0.03046,0.33278,1.1697,0.59804,0.48064,1.34542,0.60643,0.1711,0,0.12074,0.20998,0.07277,4.38276,0.14952,0.1389,0.22479,0.11561,0.98874,3.65226,1.65966,0.02769,0.15324,0.00933,0.20092,1.325,0.26372,1.16261,0.58453,0.57114,0.45129,2.5544,3.08463,0.82404,0.14119,0.36308,0.5747,0.02942,0.49277,0.00688,0.07433,0.13321,0.00784,0.05587,1.07186,0.31237,0.00837,0.33075,0.094,0.77478,0.43365,0.73186,0.11077,0.66476,0.20248,0.14183,0.18801,0.04522,0.25639,0.4143,0.04351,0.10423,0.31121,0.13347,0.28695,0.50459,1.16429,0.6215,0.25363,1.38186,0.15503,0.02034,5.97761,0.12372,0.44912,0.09274,0.00114,0.01612,0.12721,0.22923,0.03071,0.15406
"Eubacteriales",24.12672,48.16613,34.54687,53.33997,43.96343,58.41311,31.32859,81.12953,43.64084,52.40126,53.02746,54.39472,68.61068,56.30632,28.55796,45.35851,44.42768,45.73108,58.40887,29.76541,28.75508,66.72366,28.72556,50.4214,42.14663,35.23864,46.71681,33.04007,18.26622,49.78423,42.43409,51.41323,58.99976,36.18904,40.68784,48.22349,54.31768,13.16781,40.48205,43.47719,52.38679,50.3383,46.26446,40.46427,59.49239,34.49842,68.50754,58.79214,52.93247,16.71725,17.23599,23.08046,37.84991,62.26016,44.23368,38.05488,32.11443,32.11785,41.00646,32.88653,29.5001,56.99856,38.371,22.55143,39.64501,64.75125,57.47747,52.66741,44.44915,63.12705,47.58625,57.19606,72.31742,27.78394,65.34103,77.9395,42.98596,74.69215,40.79201,37.43473,53.4156,43.97837,27.39989,54.20396,68.63533,54.49411,38.45264,40.72767,49.78115,43.92907,50.04815,60.23319,47.71819,37.61242,54.3402,42.10922,49.85988,56.32415,58.60131,37.04159,62.27695,21.11479,12.69142,48.13526,48.92389,77.49225,10.6232,60.6747,64.28552,62.11353,48.83893,55.06751,57.04464,52.77953,29.49769,51.08672,10.8139,55.52959,47.06513,29.08847,62.60544,43.39237,57.38854,53.54488,68.74083
"Erysipelotrichales",2.78023,0.35274,4.95495,0.89807,0.79568,0.1612,2.62917,1.15496,0.17957,0.07359,0.02329,0.00481,0.24149,0.32827,2.66848,0.69795,2.6191,2.06869,0.01124,0.49691,0.3263,0.0476,0.03541,0,0.94125,0.13643,0.08855,0.03627,0.8288,0.33381,4.38961,0.03942,0,0.80666,0.27959,0.03727,0.04427,0.02379,0.00369,0.0855,0.00475,0.00441,0.05587,0.00694,0,0.05236,0.18102,1.09886,0.01794,0.02218,1.33156,2.63237,0.0113,0.0121,0.07827,0.26048,0.84856,0.15028,0.04061,2.28456,0.16701,16.31352,0.19159,0.36499,1.63754,0.15069,0.01467,0.21903,0.67865,0,0.0149,0.50814,15.66402,0.80044,3.25466,0.37855,0.00738,0.81503,1.59394,0.06475,0.04582,0.00904,0,0.01516,0.07995,0,0.04295,0.09785,0.1797,0.40095,0,0.41862,0.02825,0.11064,0.26071,0.03054,0.5559,0.06415,1.43018,0.02936,0.00857,1.49342,0.01145,0.00921,0.09262,0.03652,1.11361,3.11815,0,0.10431,0,0,4.53372,0.08187,0.0045,0.35693,0.00601,0.01854,0.0414,0.17557,0.18395,3.27226,0.29038,0.00228,0.00087
"Acidaminococcales",0.0119,0.92894,0,0,7.84952,0.02928,0.15088,0.1666,2.50455,0.8989,0,0,0,2.28427,0,0.91406,0,1.87034,0.00032,6.38828,0,0,2.51197,0.39802,0.60958,0,0,0.40152,0,0,1.57612,1.07859,0.00608,1.79456,0,0,1.06892,0,0.40103,0.31975,0,0,0.79534,0,0.3557,1.31058,0.00297,1.03911,0,0,0.43653,1.96506,0,0.85729,0.74936,1.10292,0.9391,4.77824,0,8.19117,0,1.82953,4.17017,1.27203,0,0,0.05388,0.4897,0.5393,0,0,1.00478,0.709,0.0564,0.00484,0,0.9329,0,0,0.00762,6.84122,0,0,1.4519,0,0.03444,1.14246,0,0.79315,0,0.39528,0.66574,0,0,0.20349,0.59887,0,0.3365,0.00192,0,0,0,0,7.77221,0.78926,0.32643,0.98148,0.50961,0,0,0.78401,0.68894,0.40256,3.88656,5.2388,1.07297,1.26634,0,0.08388,0.18051,1.65841,0,6.91225,0.71727,0
"Selenomonadales",0,0,0,0,3.22848,0,0.0123,0.0063,0,0,0,0,0,0,0,0,0,4.4485,0,0,0.00428,0,0,0,0,0,0,0,0,0,0.02917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59263,0,0,0,0,0,0,0,0.07468,0,0,0,3.58526,0,0,0,0,0.50921,0,0.00272,0,0,0,0,0.03551,0,0,0.00555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58907,0,0,0.00704,0,0,0,0,0,0,0,0
"Veillonellales",0.89942,0.00164,2.14297,1.35584,0.56136,0.2368,3.76681,0.0715,0,0,3.78586,0.09432,1.50089,0.14563,6.71277,0.01724,1.03643,0.06242,0.19588,1.43798,0.55714,0.94857,0,0.00262,0.00017,0.54882,0.69119,0.85749,0.38828,0.36399,0.03653,0.04709,2.56949,0,0.01218,0.83019,0.00438,0.17981,0.01653,0.00463,0.3956,0.06044,0.00041,0.47744,0.01339,0.051,0.41908,0.02315,0.56059,0.22477,0.22119,0,0.0058,0.0059,0,0,0.11202,0.00719,0.54374,0,1.12865,0.01632,0.00297,0,0.42157,0.24689,0.15331,0.0941,0.01325,0.1903,0.40688,0.00733,0,3.10453,0.01324,1.29302,0.08593,0.09905,2.24639,0.18927,0.00881,0,0.55275,3.25712,0.14105,4.14165,0,0.07113,0.00055,2.45841,0.0536,0,0.22356,0.09489,0.29143,0,0.12357,0,0,0,0,0.50029,0.17154,0,0,0.01843,0.00455,0.26692,0.13406,0,0.01565,0.01656,0.06699,0.02338,0,0.6684,13.96656,0.28913,0.04758,0.00575,0.18608,4.47655,0.25091,0.20384,1.08911
"Tissierellales",2.53453,0.02841,0.00499,0.30884,0,0.08201,0.24886,0.00671,0,0,0,0,0.00336,0,0.03297,0.00347,0,0.01714,0,0,0.22227,0.54564,0,0,0.17848,0.00666,0,0.00765,0.00255,0.6279,0.04178,0,0,0,0,0,0.00126,0.04791,0,0,0,0,0,0,0,0,0.00038,0,0,0.06751,3.6653,0.25771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11319,0,0,0,0,0,0,0,0.01169,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03389,0,0,0,0,0,0.04298,0.01877,0,0,0,0,3.44064,0,0.00625,0,0,0,0,0,0,0,0,0,0.00315,0,0,0,0,0.32883,0.05762,0,0.01229,0,0,0
"Fusobacteriales",1.36658,0.4354,0.49788,0.42711,0,0.16804,0.03058,0.00087,0,0,0,0,0,0.00247,0.02838,0.00262,0.01236,0.04051,0,0,0.28986,1.52629,0,0.01377,0.01157,0.10923,0,0.27277,0,0.26961,0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73491,0.04243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62863,0.0057,0,0.04897,0,0,0,0,0,0,0,0,0,0,0.01452,0,0,0,0,0,0.00949,0,0,0,0,0,0.99015,0,0,0.04338,0,0,0,0.01833,0,0,0.01352,0,7e-04,0,0,0.21347,0,0.23033,0,0,0.00459,0,0,0
"Victivallales",0,0,0,0,0.0313,0.00921,0,0.0073,0.0327,0,0,0,0,0.00439,0,0,0.00191,0.05983,0,0,0,0,0.03099,0.00905,0,0,0.0033,0,0,0,0.02902,0,0,0,0.05091,0,0,0,0,0,0,0,0,0,0,0.01298,0,0,0,0,0,0.07896,0,0.03665,0,0,0,0,0,0,0,0,0,0,0.06647,0,0,0.2571,0,0,0,0,0.00303,0.01893,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0.00132,0,0,0,0,0.02784,0.23094,0,0,0,0.01704,0,0,0,0,0,0.65814,0.00073,0,0,0,0,0,0.01337,0,0,0.00467,0.03248,0,0,0,0,0.00224,0,0.04381,0,0,0
"Burkholderiales",0,0,0.07881,0.21239,0.02145,0.04821,0,0.02063,1.09251,0.94794,0.90422,0.01064,0.04136,0.19951,0,0.00654,0.08216,0.0077,1.54535,0.01928,0.17671,0.10147,0.18179,0.01354,0,0,0,0.08788,0,0.20878,0,0,0.04728,0,0,0,0.09037,0,0,0.24763,0,0.02914,2.04849,0.01891,0,0,0.44051,0.15686,0,0,0.05807,0.01114,0.05238,0.08734,0.01665,0.05294,0.11792,0.10321,0.42681,1.08216,0,0,0.77252,0,0.3863,0,0.60936,0.0254,0.00024,0.00118,0,0.01536,0,0,0,0,0.04896,0.22147,0.21529,0,0.10815,0.02898,0,0,0.56421,2.51752,0,0.2462,0.55672,0.06577,0,0,0,0.00293,0.65246,0,0,0.03211,0,0,0.09634,0.08117,0,0,1.7395,0.0792,3.84096,0,0.27911,0,0,0.09275,0.02399,0,0.04044,0.07143,0,0,0.05891,0.13941,0,0.0038,0.03425,0.84495,0
