"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Tissierellia",0,0,0,0,0,0,0,0.10196,0,0,0,0,0,0.04764,0,0.00073,0,0,0.28856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriia",0,0,0,0,0,0,0,0,0,0,0,0.03774,0,0.11791,0,0,0,0,0.69962,0,0.26759,0.00445,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0.40615,0,0,0,0,0,0,0,0,0,0,0,0,0.15605,0,0,0.08421,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0.36444,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lentisphaeria",0,0,0.04904,0.05245,0,0,0,0.31928,0,0,0.02579,0,0.82429,0,0,0,0,0,0,0,0.13349,0,0.09405,0,0,0.17088,0.1131,0.10933,0,0,0,0,0,0,0,0,0.17511,0,0,0,0,0,0,0.08355,0,0,0,0,0,0,0.05082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20762,0,0
"Alphaproteobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Betaproteobacteria",0,0,0.01043,0.01468,3.4672,0.19945,0.29055,0,0,0.1858,0.05943,0.23123,0.22415,0.31439,0.15841,0.63025,0.00477,2.38627,0.09494,0,0,0.00675,0.45942,0.84819,0.02771,0,0,0,0.00631,3.51809,0.80552,0,0.01697,0,0.81278,0.00182,0,0.01874,0,4.62212,0.00992,0,0.29223,0.00724,0.07202,0,0,0.24655,0.39762,0.54707,0.75303,0,0,0.00161,0.27626,0.16269,0,0,0,0.00327,0.49443,0.01174,2.10668,0.00027,1.70596,0.05069,0.46072,0.00256,0.01014,0,0,0.6472,0.63871,0.08125,0,0,2.97028,0.01452,1.11328,0.10686
"Deltaproteobacteria",0,0,0.01515,0.13218,0.74007,0.5923,0.00084,0.0731,0,0.30423,0.59636,2.45762,0.2032,0.03417,0.21912,2.65076,0.3844,0,0.35436,0.0882,3.04635,1.83747,0.80343,1.53412,0.01493,0.43014,2.36208,0.01007,0.4432,0.46536,0.5954,0.0263,0,0.4354,0,1.49193,2.61492,0.02592,1.25831,0.00773,0.01119,0.11313,0.082,0.08728,0.00146,0.34997,0.31686,0,0.77896,0,0.17859,0,1.26369,0,0.61743,0.35233,0,0.01935,1.09469,0.03796,0.4455,0.03693,1.55817,0,0.07947,0,0,0.07266,0.11436,3.0369,0.7509,0.24574,0.16133,0.00499,0.10445,0.00221,0.60285,0.20531,1.60022,0.10857
"Epsilonproteobacteria",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.93923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287,0,0,0,0
"Gammaproteobacteria",38.74306,0.4181,0.05408,0.03412,2.34763,1.75787,0.92899,0.21068,10.03161,3.239,0.01984,0.18769,0.17176,8.61951,34.43511,2.3698,0.94877,56.10416,0.92301,0.01382,0.06852,4.64318,3.31938,0.04925,4.32921,0.00841,0.01345,0.02718,4.11185,0.04021,0,4.06965,11.92324,0.18958,0.06537,42.08756,0,8.96121,0,1.51286,0,25.54747,3.58223,0.20049,1.0306,2.62874,4.71332,21.38516,2.12599,3.91279,8.00351,22.08812,18.49963,98.71522,0.9464,0.0037,99.58335,0.79298,0.06362,0.46717,4.55186,1.14913,0,0,0.03965,71.93084,0.34287,0.01952,0.016,0,0.02321,13.26302,19.4982,0.22049,0.90729,1.48454,0.0046,0.42067,0.04167,0.00375
"Spirochaetia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Synergistia",0.12964,0,0,0,0.00295,0.01252,0,0,0,0.00259,0.00519,0.03102,0,0.00286,0.92223,0,0.00162,0,32.24965,0,0,0.48733,0.11733,0,0.00115,0,0,0,0.00106,0,0,0,0,0,0,0,0,2.72059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07136,0.02325,0,0,0,0,0.01424,0,0,0,0,0,0.48439,0.23871,0.02973,0,0.0059,0.02802,0,0,0,0.08525
"Bigyra",0,0,0,0,0,0,0,0.78056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0.52137,0,0,0.26456,1.88906,0.43209,2.50303,0.4425,0,0.48168,1.91872,1.0015,3.88745,0,1.48411,3.02773,0.15527,0,0,0.12334,0.30095,0,0.19625,1.37472,10.61613,1.22083,2.75864,1.45343,1.21398,0.83202,3.81773,0,2.26227,4.76077,6.93094,0,0.02495,2.91618,1.61539,1.0965,0.34863,0,4.69451,1.82832,1.35394,0.00874,0.60658,0.66756,1.26327,5.82121,0.39113,0,0.10792,0,2.32836,0.00886,0,1.10045,0.17264,1.40697,3.94956,0.66254,5.04876,0,0.27985,0,3.26811,0.38114,0.48795,0.22181,0.0146,0.13355,0.05161,2.73716,6.33378,0,0.38952,2.98082,1.78374,0.41537
"Verrucomicrobiae",23.66551,0.18524,2.85561,0.40494,0,0.0064,0.00686,0,0,15.66149,0,3.6591,0.14213,0.29683,2.90744,2.23572,0,0,0,2.59982,0,8.53086,0,6.64223,0,6.67213,0,0,36.78114,0,0,0,0,0.02883,0,1.22567,0,9.37244,0,0,1.54838,0,6.61653,8.50146,0.43015,0,0,0,0,0.04897,4.21262,0,0,0,0,0,0,0,0.00944,0,1.32267,0,0.57783,0,7.03657,0,0,0,0,0.52322,0,0,0,29.93876,0,0.02118,0.04887,0,8.29333,0.91603
