"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Actinomycetales",0.00154,0,0,0,0.03773,0.11341,0.02443,0,0.08903,0,0,0.01052,0,0.27372,0.00894,0.00331,0,0.26136,0,0,0,0.06692,0.01398,0,0.2566,0.00344,0,0,0,0.02556,0,0,0.0117,0,0,0.07195,0,0,0,0.00539,0,0,1.87856,0,0,0.04208,0.01037,0.14622,0,0.00129,0,0.23662,0.33947,0.00469,0.00145,0,0.00404,0,0.00649,0,0,0.01486,0,0.27439,0,0,0,0.03026,0.05765,0,0,0.06211,0.05536,0,0,0.01049,0,0,0,0
"Bifidobacteriales",0.0058,2.37414,0.56585,2.86643,1.58676,2.94412,3.29129,5.62522,47.24743,7.43318,2.5162,2.81523,0.05653,0.04738,0.35583,15.04189,0.41338,39.85506,0.10031,2.04779,0,2.54202,0.7999,1.14164,5.22662,44.5882,0.55839,6.97773,0.0835,13.19745,0,0.00357,1.88004,0.08529,0.56654,0.8635,0,0.42886,0,8.04057,0,0.10184,0.16713,0.99802,0.05092,0,0.08085,0,1.09224,0,1.41064,0.12134,0.00242,0.00105,0.10078,0.18127,0.11416,0,0.36687,1.12618,0.37958,4.30299,0,0.16847,1.95402,26.02061,0.84704,8.77093,14.91181,0.68942,0.02305,5.90843,5.21735,8.26086,5.86888,2.94435,5.43423,19.5627,1.39596,0.23544
"Corynebacteriales",0,0,0,0,0,0.01118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06269,0,0,0,0,0,0,0,0,0,0,0.00123,0,0,0,0,0,0.01595,0,0,0,0,0,0,0,0,0,0,0,0,0.00277,0.78409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcales",0.00039,0,0,0.00573,0.09808,0.24221,0,0.00266,0.09451,0.01155,0,0.36126,0,0.86007,0,0,0,0.07107,0,0,0,0,0,0,0.00713,0,0,0,0,0,0,0,0,0,0,0.00259,0,0.05897,0,0.0726,0,0,0,0.00524,0.00404,0.00084,0,0.02625,0,0.00142,0,0,0,0,0,0,0.03222,0,0.00108,0,0,0.0049,0,0.07504,0,0.01096,0,0.00263,0.00628,0,0,0.06607,0.07208,0,0,0.01593,0,0,0,0
"Propionibacteriales",0,0,0,0,0,0.00189,0,0.0129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01255,0,0,0,0.00946,0,0,0.00293,0,0,0,0.00276,0,0,0,0,0,0,0,0,0,0.08698,0,0.01304,0,0.08808,0,0,0.00883,0,0,0,0,0,0,0.00431,0,0,0,0,0,0,0,0,0,0,0,0.01711,0.00251,0,0,0
"Coriobacteriales",0,0.00753,0.49896,1.61671,0.32403,66.47097,2.70661,0.53191,3.89617,0.82256,4.76275,0.84381,0.22628,4.39942,0,0.71315,0.62721,0.00266,1.35181,0.48626,0.28861,0.25917,0.10994,0.14312,1.82314,1.91134,2.19974,1.21837,5.05098,2.75741,0.0959,0.02364,2.68432,0.70031,0,0.36535,0.00364,0.41044,4.17933,6.94899,0.09429,0,0.14509,0.19037,0,0,0.94924,0,0.77866,0.85379,0.24609,0,0,0,0.21242,0.16389,0,0.12333,0.82848,0.26768,0.08968,0.6552,0.17229,0.00069,0.17443,0,0.4378,7.05511,8.43622,1.58557,0.02195,1.21441,1.34824,1.72857,0.6725,4.66325,1.63405,5.33255,0.23095,0.6166
"Eggerthellales",0.72615,0.16263,0.13431,0,0.62543,1.81413,0.01354,0.52359,0.09463,0.49019,0.35676,0.80277,0,0.0718,0,0.13124,0.06202,0,0.9272,0.0759,0.05357,0.15018,0.0463,0.60316,0.28346,0.42877,0.23949,0.11812,1.77725,0.02024,0.07597,0,0.49691,0.11949,0.81108,0.10054,0.06364,0.02354,0.57437,0.11379,0.00689,0.13399,0.33858,0.00541,0.01982,0.39139,0.14279,0.02234,0.02944,0.28867,0.32707,0,0.19615,0,0.21528,0.0301,0,0.02644,0.01654,0.01019,0.41096,0.16437,0.07383,0,0.0903,0,0.05673,0.34332,0.69397,0.65392,0.02057,0.08475,0.06867,0,0.08602,0.05883,0.12789,0.33136,0.79724,0
"Bacteroidales",0.32076,78.47547,65.54263,84.9476,61.03021,1.65948,31.53578,79.4083,8.15644,54.07205,47.73972,55.87125,61.76001,23.2796,47.16734,37.10342,70.22761,0.01366,50.27433,83.98786,74.9621,42.60283,71.96661,48.47256,36.77052,19.22973,70.13758,76.61487,6.10866,42.54075,54.90678,91.3144,58.31758,65.90722,81.60738,46.02786,76.01699,68.49221,43.29264,21.12775,82.05387,47.47513,38.35702,66.42006,63.44109,66.59154,84.99573,46.39619,50.84462,45.18249,58.50604,65.22049,67.30991,0.00427,86.72316,87.82869,0,92.45092,77.4058,78.75764,66.57312,28.07251,42.81811,54.25225,54.33822,0,85.42018,33.00195,27.82611,65.32595,87.09525,38.37655,39.70434,42.89051,27.63296,31.35663,80.43901,36.34918,47.50471,94.30559
"Chitinophagales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0.00515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01621,0,0,0,0.00804,0,0.00033,0,0,0,0,0.01029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Malasseziales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus Gastranaerophilales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04204,0,0,0,0,0,0,0,0,0.01748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillatoriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillales",0,0.0032,0.02459,0,0,2.00808,0,0.01478,0,0.00652,0.04751,0,0,0.04837,0,0,0,0.00292,0.18195,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0,0,0,0,0,0,0,0,0,0.00465,0,0,0,0.00245,0.00352,0,0,0,0,0.01001,0,0,0,0.00282,0,0,0,0,0,0,0,0,0,0.00128,0,0,0,0,0,0,0,0,0,0.00115,0,0,0
"Lactobacillales",0.0053,0,0.02629,0.02011,0.00284,0.39907,0.03125,0.15093,1.40974,0.21442,0.0754,1.15579,0.00568,2.19932,0,0,0,1.25228,0.04587,0,0,0,0.01993,0,0.0308,0.00934,0,0,0,0.79523,0.06871,0,0.0373,0,0.00269,0.00787,0,0.04261,0,0.15771,0,0.02607,0,0,0.48719,0.0314,0.07337,1.8921,0.0076,0.0085,0.00303,2.41635,0,1.18501,0,0,0.25459,0.02089,0.01618,0,0.01612,0.10228,0,5.01554,0.08691,0.0836,0,0.03028,0.0235,0,0,3.23214,1.96675,0,0.0016,2.49538,0,0,0,0
"Eubacteriales",35.86942,18.15886,27.85283,8.13358,24.0783,20.04241,55.16558,11.28568,25.60671,16.55955,35.21405,25.58088,32.13289,57.90025,8.26544,32.8044,27.07432,0.05056,6.16371,8.2602,18.67729,37.48718,20.16556,37.48212,38.78081,20.71289,17.44133,11.69827,43.9661,35.31045,38.45852,4.45267,21.97579,27.17921,8.65604,6.17671,18.19686,4.24429,10.08475,51.28542,15.81736,25.2012,42.95988,20.54379,32.53007,29.39869,8.09808,28.89713,40.30243,42.8656,25.79395,9.87786,9.02143,0,7.87056,4.66694,0,4.93175,19.66032,15.89935,10.37633,57.9458,45.67162,35.68593,33.87791,1.20493,8.12354,42.67821,39.34638,27.31243,4.10276,32.92253,27.70152,13.75114,57.19144,50.86027,6.26777,33.24212,35.46275,2.37685
"Erysipelotrichales",0.01015,0.01758,0.07201,0.00421,0.30133,0.00685,0.16081,0.05261,0.0021,0.07707,0.04207,0,0.01045,0.23749,0,0.00227,0.00698,0,0.08515,0.00161,0.05577,0.03076,0.05398,0,0.176,0,0.00776,0.00102,0.1322,0,0,0,0,0.06225,0.23479,0.00497,0.03228,0.15847,0,0.01894,0,0.12223,0.00541,0.01712,0,0.48621,0,0,0.04682,0.06693,0.10183,0.02067,1.26059,0,0.00568,0,0,0.0037,0.13943,0,0.09115,0,0.03834,0,0,0,0,0,0,0.0206,0,0,0,0,0,0.02293,0.00085,0,0.00025,0
"Acidaminococcales",0,0,1.25121,0.08723,3.00091,0.03517,3.29246,0.04991,0,0.39721,3.09234,4.60492,0,0.10004,4.06795,3.042,0,0,0,1.82535,1.9758,1.21733,1.80429,1.70821,1.40558,0,4.14133,1.74273,0.02194,0.04101,1.17548,0.07544,0,0.52393,0.21081,0,2.45838,0,38.93881,4.22881,0.09243,0,0.83733,0.67244,0.47667,0,0,0,2.28685,0,0,0,0,0,0.69018,0,0,0.49433,0,0,11.29232,0,1.93266,0,0,0,0,0,0,0,6.65269,2.06251,1.94324,0.07692,0,4.81635,1.88523,1.08304,1.7657,0.70408
