"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Parasutterella",0,0,0.01043,0.01468,3.249,0,0.2632,0,0,0.16917,0.05943,0.19709,0.22415,0,0.11094,0.55875,0,0,0,0,0,0,0.01714,0.81919,0.02771,0,0,0,0.00329,3.38727,0.75325,0,0.00994,0,0.68505,0,0,0,0,4.45312,0,0,0.14928,0,0.04295,0,0,0,0.36094,0.45537,0.74147,0,0,0,0.2238,0.16269,0,0,0,0.00327,0.4264,0.00895,1.92954,0,1.68117,0,0.39972,0.00256,0.00784,0,0,0.43749,0.55221,0.08125,0,0,2.87361,0.01452,1.07491,0.07675
"Turicimonas",0,0,0,0,0.2182,0,0.01605,0,0,0.01663,0,0.00499,0,0,0.04747,0.0715,0,0,0,0,0,0,0.00912,0.029,0,0,0,0,0.00302,0.13082,0.05227,0,0,0,0.12773,0,0,0,0,0.169,0,0,0.01342,0,0.02907,0,0,0,0.03668,0.06753,0.01156,0,0,0,0.05246,0,0,0,0,0,0.06803,0.00279,0.17714,0,0.02479,0,0.061,0,0.0023,0,0,0.06485,0.03807,0,0,0,0.09667,0,0.03837,0.03011
"Tepidimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eikenella",0,0,0,0,0,0,0,0,0,0,0,0,0,0.2866,0,0,0.00477,2.37136,0.09494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0,0,0,0,0,0,0,0,0,0.12953,0,0,0,0,0.12611,0,0,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0.05069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",0,0,0,0,0,0,0,0,0,0,0,0,0,0.02779,0,0,0,0.01491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01874,0,0,0,0,0,0.00724,0,0,0,0.11687,0,0.02417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilophila",0,0,0.01515,0.13218,0.74007,0.5923,0.00084,0.01426,0,0.30423,0.59636,0.72217,0.2032,0,0.21912,0.22408,0.3844,0,0.35436,0.0882,0.38016,0.03079,0.09998,0.11945,0.01493,0.43014,0.006,0.01007,0.4432,0,0.33481,0.0263,0,0.4354,0,1.49193,0.26685,0.02592,1.25831,0.00773,0.01119,0.11313,0.082,0.01774,0.00146,0.34997,0.31686,0,0.21358,0,0.17859,0,1.26369,0,0.61743,0.35233,0,0.01935,0,0.03796,0.4455,0.03693,0.12158,0,0.03337,0,0,0.07266,0.11436,0.32384,0.7509,0.24574,0.16133,0.00499,0.10445,0,0.60285,0.20531,0.16176,0.10857
"Desulfovibrio",0,0,0,0,0,0,0,0,0,0,0,0.55395,0,0.03417,0,2.42668,0,0,0,0,2.24399,1.52221,0,1.41467,0,0,2.35608,0,0,0,0,0,0,0,0,0,1.96816,0,0,0,0,0,0,0.06954,0,0,0,0,0.56538,0,0,0,0,0,0,0,0,0,1.09469,0,0,0,0.726,0,0,0,0,0,0,2.71306,0,0,0,0,0,0.00221,0,0,1.43846,0
"Campylobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.93923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287,0,0,0,0
