"","LILT_GF06_16","LILT_GF12_16","LILT_GF15_16","LILT_GF16_T017","LILT_GF17_16","LILT_GF18_T016","LILT_VF00TL_16","LILT_VF02_T016","LILT_VF04_16","LILT_VF06_16","LILT_VF07_16","LILT_VF100_T016","LILT_VF102_T017","LILT_VF107_16","LILT_VF114_T017","LILT_VF120_16","LILT_VF145_T017","LILT_VF154_T017","LILT_VF166_T017","LILT_VF174_T017","LILT_VF176_T017","LILT_VF192_T017","LILT_VF197_T017","LILT_VF29_16","LILT_VF30_16","LILT_VF31_16","LILT_VF32_T016","LILT_VF35_16","LILT_VF37_16","LILT_VF38_16","LILT_VF40_16","LILT_VF43_16","LILT_VF47_16","LILT_VF50_16","LILT_VF55_T017","LILT_VF56_16","LILT_VF60_T016","LILT_VF65_16","LILT_VF66_T017","LILT_VF69_16","LILT_VF70_16","LILT_VF71_16","LILT_VF73_16","LILT_VF77_16","LILT_VF84_16","LILT_VF90_16","LILT_VF95_16","LILT_VF97_16","LILT_VF270_T017","LILT_VF207_T017","LILT_VF234_T017","LILT_VF217_T017","LILT_VF273_T017","LILT_VF208_T017","LILT_VF281_T017","LILT_VF172_T017","LILT_VF216_T017","LILT_VF232_T017","LILT_VF264_T017","LILT_VF251_T017","LILT_VF259_T016","LILT_VF255_T016","LILT_VF170_T016","LILT_VF206_T016","LILT_VF212_T016","LILT_VF214_T016","LILT_VF261_T016","LILT_VF262_T016","LILT_VF263_T016","LILT_VF265_T016","LILT_VF279_T016","LILT_VF300_T016","LILT_VF301_T016","LILT_VF10_T016","LILT_VF140_T016","LILT_VF171_T016","LILT_VF18_T016","LILT_VF189_T016","LILT_VF28_T016","LILT_VF82_T016"
"Eubacteriales Family XIII. Incertae Sedis",0,0,0,0,0,0.00368,0,0,0,0,0,0,0,0.00092,0,0,0,0,0.38084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287,0,0,0,0.00354,0,0,0,0
"Lachnospiraceae",2.08289,2.36445,4.36484,2.22717,2.81353,2.11033,4.10604,0.68557,2.78628,3.22627,2.82667,3.22955,2.50368,49.96681,4.17953,13.07458,0.48876,0.01641,2.85839,1.09405,2.99965,12.67602,1.22726,13.48021,9.38817,6.59025,4.23995,3.91614,0.96306,8.35609,6.81469,0.9972,10.9858,2.32596,1.3655,5.20642,3.1177,0.67482,4.05144,8.40862,3.48927,15.7207,7.32766,10.48128,3.7001,25.3154,3.90234,10.00458,20.16404,15.37471,9.95269,4.83913,3.47638,0,0.47884,0.11527,0,0.40678,4.45939,2.80187,1.77283,16.53654,7.77279,31.09965,4.73789,0.07707,1.46789,21.84473,17.11119,12.39982,1.40328,19.63287,17.27143,2.08196,24.0944,9.29454,0.49134,5.23457,11.0129,0.15319
"Oscillospiraceae",33.05295,10.21701,13.18281,5.73397,15.562,17.49051,47.15734,10.4606,22.50059,12.61739,29.2681,21.39899,28.74786,6.40936,3.70059,16.35926,20.81382,0.03415,1.52178,6.1775,14.7766,13.836,18.29662,14.40904,27.49426,12.65222,7.01551,6.16999,42.17534,26.38413,25.87391,3.1064,9.97642,23.02423,6.27475,0.95273,14.31299,2.51077,5.62775,38.91994,9.60202,9.4707,34.26151,8.44652,26.90538,3.48843,3.97085,18.66425,7.35727,26.10979,14.36385,2.43428,4.56048,0,6.65303,3.92631,0,3.30263,12.63314,11.77491,5.40669,30.8952,35.41095,2.64881,28.506,1.12786,5.08041,13.15273,15.04239,14.0489,2.48975,10.14474,8.07224,7.24099,32.53582,41.41135,5.74885,25.44716,14.47005,1.97223
"Peptostreptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillaceae",0,0,0.0026,0,0,0,0,0.02081,0,0.00561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15611,0,0,0,0.0199,0,0,0,0,0,0,0,0,0.01734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00636,0,0,0,0
"Erysipelotrichaceae",0.01015,0.01758,0.06858,0.00421,0.30133,0.00685,0.16081,0.0318,0.0021,0.07146,0.04207,0,0.01045,0.23749,0,0.00227,0.00698,0,0.08515,0.00161,0.05577,0.03076,0.05398,0,0.01989,0,0.00776,0.00102,0.1123,0,0,0,0,0.06225,0.23479,0.00497,0.03228,0.14113,0,0,0,0.12223,0.00541,0.01712,0,0.48621,0,0,0.04682,0.06693,0.10183,0.02067,1.26059,0,0.00568,0,0,0.0037,0.13943,0,0.09115,0,0.03834,0,0,0,0,0,0,0.0206,0,0,0,0,0,0.01657,0.00085,0,0.00025,0
"Turicibacteraceae",0,0,0.00083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcaceae",0,0,1.25121,0.08723,3.00091,0.03517,3.29246,0.04991,0,0.39721,3.09234,4.60492,0,0.10004,4.06795,3.042,0,0,0,1.82535,1.9758,1.21733,1.80429,1.70821,1.40558,0,4.14133,1.74273,0.02194,0.04101,1.17548,0.07544,0,0.52393,0.21081,0,2.45838,0,38.93881,4.22881,0.09243,0,0.83733,0.67244,0.47667,0,0,0,2.28685,0,0,0,0,0,0.69018,0,0,0.49433,0,0,11.29232,0,1.93266,0,0,0,0,0,0,0,6.65269,2.06251,1.94324,0.07692,0,4.81635,1.88523,1.08304,1.7657,0.70408
"Selenomonadaceae",0,0,0.00739,0,0,0.01683,0,0.0174,0,0,3.40135,0.13899,0,0.00099,0,0.18065,0,0,0.68634,0,0,0,0,0,0,0,0,0,0,0,0,0.02718,0,0,0,1.22462,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06318,0,0,0,0,0,0.00047,0,0,0.11456
"Veillonellaceae",0,0.19726,0.76518,1.4019,0.45167,0.05657,0,0.35864,3.30491,0.01378,0,0.04364,0.35521,0.17228,0,0.05115,0.06961,0,4.60823,0.4831,0,0.07085,0,0,0.18834,0,0,0,0.20609,0.41507,0,0.00713,0.23043,0,0.01178,0.08645,0,0,0,0.71354,0.00746,1.19043,0,0,0,0.06685,0.00374,0.31696,0,0.12414,0.02081,0,0.62924,0,0,6.59788,0,0.03588,0.12339,1.98322,0,6.86969,0,4.52312,0.32247,0.69836,0.6773,7.52472,7.95607,0.30247,0.32361,1.51735,1.52714,0.2114,1.19516,1.13488,0.16942,0.12675,0,0
"Peptoniphilaceae",0,0,0,0,0,0,0,0.10196,0,0,0,0,0,0.04764,0,0.00073,0,0,0.28856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0.03774,0,0.11791,0,0,0,0,0.69962,0,0.26759,0.00445,0,0,0,0,0,0,0,0,0,0,0,0,0.00498,0,0.40615,0,0,0,0,0,0,0,0,0,0,0,0,0.15605,0,0,0.08421,0,0.0059,0,0,0,0,0,0,0,0,0,0,0,0.36444,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallaceae",0,0,0.04904,0.05245,0,0,0,0.31928,0,0,0.02579,0,0.82429,0,0,0,0,0,0,0,0.13349,0,0.09405,0,0,0.17088,0.1131,0.10933,0,0,0,0,0,0,0,0,0.17511,0,0,0,0,0,0,0.08355,0,0,0,0,0,0,0.05082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20762,0,0
"Burkholderiaceae",0,0,0,0,0,0.19945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comamonadaceae",0,0,0,0,0,0,0.0113,0,0,0,0,0.02915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0,0,0,0,0,0,0,0.14486,0.04843,0,0,0,0,0,0,0
"Oxalobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00675,0.43316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterellaceae",0,0,0.01043,0.01468,3.4672,0,0.27925,0,0,0.1858,0.05943,0.20208,0.22415,0,0.15841,0.63025,0,0,0,0,0,0,0.02626,0.84819,0.02771,0,0,0,0.00631,3.51809,0.80552,0,0.00994,0,0.81278,0,0,0,0,4.62212,0,0,0.1627,0,0.07202,0,0,0,0.39762,0.5229,0.75303,0,0,0,0.27626,0.16269,0,0,0,0.00327,0.49443,0.01174,2.10668,0,1.70596,0,0.46072,0.00256,0.01014,0,0,0.50234,0.59028,0.08125,0,0,2.97028,0.01452,1.11328,0.10686
"Neisseriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.31439,0,0,0.00477,2.38627,0.09494,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0,0,0,0,0.01874,0,0,0,0,0.12953,0.00724,0,0,0,0.24655,0,0.02417,0,0,0,0.00161,0,0,0,0,0,0,0,0,0,0,0,0.05069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfomicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae",0,0,0.01515,0.13218,0.74007,0.5923,0.00084,0.0731,0,0.30423,0.59636,2.45762,0.2032,0.03417,0.21912,2.65076,0.3844,0,0.35436,0.0882,3.04635,1.83747,0.80343,1.53412,0.01493,0.43014,2.36208,0.01007,0.4432,0.46536,0.5954,0.0263,0,0.4354,0,1.49193,2.61492,0.02592,1.25831,0.00773,0.01119,0.11313,0.082,0.08728,0.00146,0.34997,0.31686,0,0.77896,0,0.17859,0,1.26369,0,0.61743,0.35233,0,0.01935,1.09469,0.03796,0.4455,0.03693,1.55817,0,0.03337,0,0,0.07266,0.11436,3.0369,0.7509,0.24574,0.16133,0.00499,0.10445,0.00221,0.60285,0.20531,1.60022,0.10857
"Campylobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0929,0,0,0,0,0.93923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00287,0,0,0,0
