"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"Lactobacillales",0,3.02362,0,4.19342,2.12735,0,0.61233,1.13913,22.50199,0.1909,0.42362,0.94831,21.47205,0,5.93981,1.16233,37.48659,3.76349,1.19508,5.08496,0,1.86326,0,0.7216,1.70653,0.16618,5.31905,1.49763,0.5613,0.77165,1.10801,1.27777,0.13501,14.89934,0.58076,0.87402,0.61607,2.91503,0.39488,2.96217,0.45723,0.29355,0.01174,15.47068,0.06174,0.55549,0.52063,2.72274,0.45611,3.10492,0.24173,0.23226,13.3193,1.32705,4.86957,3.50402,0.01218,0.03791,9.29725,8.32885,3.88841,0.75042,0.0436,0,0,0.14067,0,5.40406,0,0,0.06238,0.74818,0.09401,0.29904,0.56826,0.33234,0,0.04015,0.25951,16.94639,4.38483
"Eubacteriales",72.35626,71.73941,38.43858,59.29709,51.59386,61.31453,33.51475,64.61661,37.67343,74.0779,53.84347,59.17149,15.62417,8.66456,69.37561,81.3376,52.60549,88.57605,69.76769,67.47841,0,75.32066,52.65288,62.22781,65.88546,32.60146,76.20644,64.19694,48.90619,78.21553,77.41285,46.04143,25.20025,47.71239,91.0812,82.24531,71.9723,26.16983,34.68941,74.59637,67.27304,22.06134,23.35835,43.67425,42.67965,41.23899,55.64138,90.57174,71.92546,31.10369,70.12534,67.34176,74.71416,67.71423,66.36432,72.77405,27.61306,69.42192,34.01888,35.50473,62.59447,84.00459,58.7248,70.29113,0,55.54914,81.76187,72.4686,66.45952,32.55022,90.30561,68.29628,46.02834,23.55823,35.30374,49.1182,70.94465,29.58184,67.08892,69.63556,79.96674
"Erysipelotrichales",0.03262,0.06505,0,0,1.23365,0.70813,0,1.13118,0.42124,0.04397,0,0.29543,0,0,0.21439,0,1.73163,0,0,0,0,5.24872,0.66905,0.22,0,0.19429,0.28468,0.13443,0.0859,2.55041,0.03757,0.13828,0.47766,11.38446,0.45969,0,0.09298,0,0.87279,0.32669,0.18431,0.01657,0.35709,0,0.29609,0,2.29508,2.73771,2.57055,0.80573,4.65242,0.70288,0.12756,0,0.65255,0.06992,0.13161,0.96686,10.03252,0.03624,0,0.48913,0.06721,0,100,0,0,0.1697,0.26777,0.04966,1.18001,1.63844,0.01033,0.21589,0.73828,0.12288,0,1.43447,9.80894,0.04616,0
"Acidaminococcales",0,0,0.09557,0,0,0.18938,0,0.07987,0,0.02029,0,0,0,0,0,0,0,0,0,0,0,0,0.84243,0,0,0,0,0,0,0,0,0,0.0646,0,0,0.19679,0.07367,0,0,0,0,0,0,0,0,1.06653,0.75987,0,0.00641,0,0,0,0,0,0,0,0.04004,0,0,0,0,0,0.44213,2.31851,0,0.03634,0,0,0,0,0,0.03691,0,0,0,0.26971,0.66877,0.06822,0,0,0
"Selenomonadales",0,0,0,0,0.1262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63946,0,0
"Veillonellales",0.30164,0,0.00464,0,0,0,0.34367,0,0,0,0,0.45969,0,0,0.85508,0,0,0,0.62344,0,0,0,0,0,0,5.52242,0.02278,0,0,0.31267,0,0,0,0,0,0,0,0,0.01295,0,0,0.87825,0,0,0.59793,0.0612,0,0,0,0,0,0,2.30891,1.16179,0,0.0209,0,0,0.06288,0,0,0,0,0,0,0.59698,0.03744,0,0,0,0,0,0.07864,0.03236,0,0,0,0,0,0,0
"Tissierellales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02451,0,0,0,0,0,0,0,0,0
"Fusobacteriales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0911,0,0,0,1.13367,0,0,0,0,0,0,0,0,0,0,0
"Burkholderiales",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48551,0,0,0,0,0,0,0,0,1.21919,0,0,0,0,0,0,0,0,0,0,0,0,0.38109,0,0,0,0,0.0708,0,0,0,0,0,0.15248,0,0,0,0,0,0,0,0,0,0.15809,0.12087,0,0,0.20757,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionales",0,0,0.07327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40905,0,0,0,0
"Enterobacterales",0.48754,0,0,0.32287,0.26566,0.10079,0,0.05105,0,0,0,0.65957,21.21646,90.11018,0.70654,2.91523,0,0.20375,0,0.45667,0,0,2.19425,0,0,45.39864,0.61072,0.04274,0,0.24739,0.07723,0,0.28172,6.01613,0,0,0,0,4.94441,0,0.80404,0,0,4.01796,0,5.00747,0,0,4.29989,0,0,0,0,0,0,0,0,0.6021,12.46919,19.02176,0,2.07658,0,0,0,37.46977,0,16.70796,0,41.73247,0,5.46657,1.10887,0.00831,0,1.97573,0,0,0,0,0
"Pasteurellales",0,0,0,0,0,0,0,0,0,0,0,0,0.17103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonadales",0,0,0,0,0,0,0.18822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unknown",0,2.01321,1.41951,0,0.17322,13.25874,0.00816,0,0,1.06718,2.68702,0.3872,0,0,0,0,0,1.48426,0,0.46391,0,0,0,0.01154,1.50029,1.65694,0.00918,0,2.29004,0.1161,0.91593,0,0.27837,0,0,0.61776,0.07463,0.89775,0,0.69605,1.95978,1.24742,0.1529,0,0,0.32749,0,0,0.5809,0,0,0.14436,0,6.62036,0.12957,1.25471,3.70578,0.75732,0,0.32244,0,4.55557,0.15453,0.64033,0,0.08858,2.09656,0,0,0.05885,0.00364,1.96428,0.37332,11.24819,0,0.15632,0.11276,8.6598,0,0,1.37955
"Verrucomicrobiales",0,0,0,11.77521,18.35395,0.03809,41.07152,0,0,12.96633,19.28675,0.50053,29.40915,0,0,0,0,0.60148,0,11.56851,0,12.20531,0,0,4.19363,0,1.83959,7.10517,0.12331,0,0,0.22438,64.15138,0.02369,0,5.90405,0,3.21088,0,0,19.55452,0,68.409,0,4.89473,0,25.35271,0,0,0,5.06588,0,5.28667,16.79701,0.24262,0.0621,66.98852,0,0,0.22922,0,0,36.29139,0,0,0.08554,0.03578,0.06929,21.10144,0,0,0,15.00604,0,0,31.72071,0.25923,0,1.22855,0,1.37649
