"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0.22208,0,0,0,0.08986,0,0,0.33823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22706,0,0,0.02869,0,0,0,0,0.229,0,0.06638,0,0,0.0656,0.21041,0.21848,0,0.0269,0,0,0,0,0,0,0,0,0.00753,0,0,0,0,0,0,0,0,0,0.24493,0,0,0,0,0.17148,0,0,0,0,0.0173,0,0,0,0.08745,0,0,0.06278,0,0.07699,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_merdae",0,0,0.05185,0.02777,0,0.1754,0,0.47846,0.33216,0.20426,0.04358,0,0,0,0.03016,0,0,0,0,0.15502,0,0,1.2471,0,0,0,0,0.06904,0,0,0.47831,0,0,0,0,0,0,0,0,0,0.25791,5.30135,0,0,0,0.18433,0,0,0.3999,0,0,0,0,0,0,0.03987,0.00539,0,0,0,0,0.07816,0,1.55082,0,0.0085,1.9901,0,0,0.15194,0,0,0.58783,0.08204,0,0.32089,0,0.06941,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_succinatutens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38988,0,0,0,0,0,0,0,0,0,0,0,0,0.19679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26971,0,0.06822,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Christensenellaceae|g__Christensenella|s__Christensenella_minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00726,0,0,0,0,0.06486,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_innocuum",0,0,0,0,0,0,0,0,0.42124,0.00508,0,0,0,0,0,0,0.11461,0,0,0,0,4.79882,0,0,0,0.05443,0,0,0,2.21891,0,0,0,0,0,0,0,0,0.03846,0,0.00748,0,0,0,0,0,0,0.95612,0.79516,0,0,0,0,0,0,0.0109,0,0,0,0,0,0.25514,0,0,0,0,0,0.07117,0,0,0,0.45318,0,0.03077,0,0,0,0.06339,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Erysipelatoclostridium_ramosum",0.03262,0.04827,0,0,0,0,0,0.22073,0,0.03889,0,0.29543,0,0,0,0,1.61702,0,0,0,0,0.4499,0,0.22,0,0,0,0,0,0,0,0.13828,0,0,0,0,0,0,0.83433,0,0,0,0,0,0,0,2.29508,1.51719,1.75558,0,0,0,0,0,0,0.03445,0,0,0.84021,0,0,0.23399,0,0,100,0,0,0.09853,0,0,0,1.00765,0,0.01156,0,0,0,0.06161,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,0,0,0,0.07884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11198,0,0,0,0,0,0,0,0.02477,0,0,0.23993,0,0,0,0,0.04281,0.50236,0.0672,0,0.1337,0,2.19042,0,0,0,0,0.32902,0,0.48541,0,0,0,0,1.93382,0,0,0,0,0,0,0,0,0.17267,0,0,0,0,0,0,0,0,0,0.06456,0.20088,0,0,0.01091,0.0539,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Erysipelatoclostridium|s__Clostridium_spiroforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768,0,0.00467,0,0,0,0,0,0,0,0,0,0,0,0.03396,0.01657,0,0,0,0,0,0.2644,0,0.00949,0.05501,0,0,0,0,0.02457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03563,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris",0,0,0,0,0.20576,0.05865,0.50982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08599,0,0,0,0,0,0,0,0,0,2.24987,0,0,0,0,0,0,0,0,0.84527,0,0,3.22667,0.06392,0.16337,0,0,0,0,0,0,0,1.08158,0,0.68276,0,0,0,0.02295,0,0,0,0,0,0.7349,0,0.02433,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03109,0,0,0.34485,0,1.15045,0,0,0,0,0,0,0.4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08932,0,0,0,0,0.07009,0,0,0,0.02094,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Flavonifractor|s__Flavonifractor_plautii",0.19046,0,0,0,0,0,0,0,0.19294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32206,0.34307,0,0,0,0,0,0,0,0,0,0.33695,0.05602,0,0,0,0.1356,0.49189,0.07159,0.45119,0.00226,0,0,0.00666,0,0,0,0,0,0,0,0,0.25221,1.85148,0,0,0,0,0,0,0,0,1.32174,0,0,0,0.09599,0.14963,0.01943,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Peptostreptococcaceae|g__Intestinibacter|s__Intestinibacter_bartlettii",0,0,0.70232,0,0,0,0,0,0,0,0,0.01942,0,0.06516,0,0.23453,0,0,0.00825,0,0,0,0,0,0,0,0.0207,0,0.01721,0,0,0,0,0,0,0,0.04362,0,0.02408,0.12932,0,0,0,0,0,0,0,0,0.27513,0,0.32076,0,0.30883,0,0.60307,0.0135,0,0.64111,2.53072,1.58953,0.19435,0.9421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Turicibacter|s__Turicibacter_sanguinis",0,0,0,0,0,0.70813,0,0.91045,0,0,0,0,0,0,0.21439,0,0,0,0,0,0,0,0,0,0,0.13986,0.08577,0,0.06488,0,0,0,0,0,0,0,0.09298,0,0,0.32669,0,0,0,0,0.29609,0,0,0,0,0.09621,0.30619,0,0.12756,0,0,0,0,0,9.19231,0,0,0,0,0,0,0,0,0,0,0.04966,0,0,0.01033,0,0,0,0,0.00912,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis",1.35145,0,0.61972,0.01004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18291,0,0,0,0,0.73915,0,0,0,0.00401,0,0,0,0,0.29589,2.00456,0,0,0,0,0,0,0,0,0,0,0,0.0416,0,0,0,0,0,0,0,0,0.0051,0.06475,0,0,7.2093,0.00731,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00959,0,0,0.00501,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii",0,0,0,0,0.00252,0,0,0,0.78108,0,0.44582,0,0,0,0,0,0,0,0,0.03753,0,0,0,0,0,0,0,0,0.24351,0,0,0,0.02673,0,0,0.23705,0,0.17564,0,0,1.31354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24562,0,12.44108,0,0.00361,0.1115,0.00415,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",0,0,0,0,0.06722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18598,0,0,0.24166,0,0,0.11879,0,0.11771,0.00503,0,0,0,0,0,0,0,3.90817,0,0,0,0,0,0,4.31566,0.159,0,0,0,0,0.02514,0,0,0,0,0,0,0,0,0.92013,0,0.03472,0,0,0,0,0,0,0,0,0,0,0.7849,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Phascolarctobacterium|s__Phascolarctobacterium_faecium",0,0,0.09557,0,0,0.18938,0,0.07987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07367,0,0,0,0,0,0,0,0,0,0.75987,0,0.00641,0,0,0,0,0,0,0,0.04004,0,0,0,0,0,0.44213,2.31851,0,0.03634,0,0,0,0,0,0.03691,0,0,0,0,0.66877,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila",0,0,0,0,0.04651,0,0,0,0,0.08481,0,0,0,0,0,0,0,0,0,0,0,0,0.32475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08696,0.51371,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_57_20",0,0,0.0216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35386,0,0,0,0,0.05456,0.04698,0,0,0,0.09064,0,0,0,0,0.06811,0,0.15058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.47853,0,0.01097,0,0,0,0,0,0,1.04192,0.02955,0,3.89709,0.4276,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Desulfovibrio|s__Desulfovibrio_piger",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40905,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus",2.86964,0.0308,0,0,0.00596,0.0643,0,0.07849,2.50372,0.03028,0.55535,0,0,0,0.68619,0,0,0,0,0,0,0,0.22436,0,0,0,0,0.08142,0,0.00615,0.42705,0,0,0,0,0,0.49104,0.0886,0.04487,0.0471,0,0.81929,0,0,0,0.08726,0,0,0,0,0,0,0,0,0,0,0,0,0.04825,0,0,1.5855,0.04946,0.09922,0,0,0,0,0,0,0,4.70824,0.36498,0,0,0.36182,0.35729,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58",0,0,0,0.05729,0,0,0,0,0,0,0,0,0,0,0,0.13662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11165,0,0,0,0,0,0,0,0,0,0.25978,0.19056,0,0,0.05367,0.07742,0,0,0,0,0,0,0,0,0.34735,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_hansenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35666,0,0,0,0.96091,0,0,0,0,0,0,0,0,0.70927,0,0,1.24885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16281,0,0,0,0,0,0.01305,0,0,0,0.13289,0,0.16329,0,0,0,0,0,0,0,0,0,0.82724,0,0,0,0,0.27196,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59271,0,0,0,0,0,0,0,0,0,0,0,0,0.19116,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius",0,0,0,0,0.91731,0,0,0,0,0,0,0,0,0,0,0,0,0.83723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07897,0.1133,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei",0,0.0176,0,0.00844,0,0.16117,0,0.41057,0,0,0,0,0,0,0,0,0,0.01057,0,0,0,0,0,0,0,0,0,1.21598,0.0675,0,0,0,0.65668,0,0,0.27857,1.01119,0,0,0,0,0,0.33284,0,0,0.11365,1.157,0,0.05879,0,0,0,0,0,0,0,0,0,0,0,0,0.52411,0,0,0,0,0,0,0,0,0,5.69106,0.55993,0,0,0,0.11323,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified|g__Firmicutes_unclassified|s__Firmicutes_bacterium_CAG_145",0,0.08372,0.02383,0,0.03723,0,0,0,0,0,0,0.01214,0,0,0,0,0,0,0,0,0,0,0,0.01154,0,0,0.00918,0,1.33608,0.1161,0.31555,0,0,0,0,0.16399,0,0,0,0,0.04116,0,0,0,0,0,0,0,0,0,0,0,0,0.2561,0,0,0,0,0,0,0,0,0.0773,0,0,0.08858,0.35709,0,0,0,0,0,0.37332,8.04597,0,0,0.11276,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara",0,0,0,0,0,0,0,0,0,0.02304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10358,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01207,0,0,0,0.11028,0,0.11377,0.01446,0,0,0,0.02968,0.08459,0,0,0,0.29752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09248,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250",0.17024,0,0,0.09088,0.03487,0,0,0,0,0.14152,0,0,0.03483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24593,0,0,0,0,0,0,0.01286,0,0,0,0,0.02499,0,0,0,0,0,0,0,0,0.02275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06579,0.03595,0,0,0,0,0,0,0,0,0,0.05479,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae",0,0,0,0,0.10809,0.03763,0.06595,0,1.33798,0.28585,0,0,0,0,0,0.01721,0,0,0,1.56855,0,0,0,0,0,0,0,4.91398,0,0,0,0,0,0,0,0.05177,1.27022,0.99474,0.16078,0,0.18695,4.16449,0,0,0,0.44459,0,0.84934,3.89255,0,0,0,0,0,0.16212,0,0,0,0,0.03373,0,0.17833,0,0.94011,0,0,0.66023,0,0,0,0,0,0,0.08377,0,0.8852,0.05392,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10883,0.02448,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01631,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Lawsonibacter|s__Lawsonibacter_asaccharolyticus",0.17144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24285,0,0,0.01002,0,0,0.0051,0,0,0,0,0,0.15705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04536,0,0,0.04041,0,0,0,0,0,0,0.11654,0,0,0,0.01627,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_bolteae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551,0,0,0,0,0,0,0.10845,0,0,0.00262,0,0,0,0,0,0,0,0,0,0.64138,0,0,0,0,0,0,0,0,0,0,0,0,0.08308,0,0.00392,0,0,0.00648,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251",0,0,2.70877,0,0.43489,2.3418,0,0,0,0,13.2793,0,0,0,0,0,0,0.15022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88686,6.34667,0,1.64398,0,0,0,0,0,0,0,0,0,0,0,0,1.80536,0,0,0,0,0,0,0,0,0,2.46784,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri",0,0,0,1.25354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.81816,0,0,0,0,0.21056,0,0,0,0,0,0,0,0,0,0,0,0,0,35.85569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11883,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli",0.48754,0,0,0,0.26566,0.10079,0,0.05105,0,0,0,0.65957,21.21646,90.04078,0,2.91523,0,0.20375,0,0.45667,0,0,2.19425,0,0,45.39864,0.61072,0.04274,0,0.24739,0.07723,0,0.28172,5.66115,0,0,0,0,4.94441,0,0.80404,0,0,4.01796,0,5.00747,0,0,4.22224,0,0,0,0,0,0,0,0,0.6021,0,16.40912,0,2.07658,0,0,0,0,0,7.96081,0,41.73247,0,5.46657,1.10887,0.00831,0,1.94337,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23903,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Intestinimonas|s__Intestinimonas_butyriciproducens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02871,0,0,0,0,0,0,0,0,0,0,0,1.11562,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02329,0,0,0,0,0,0,0,0,0,0,0.00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46349,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0,0,0,0,0,0,0,0,1.6321,0,0,0,0,0,0,0,0,0,0,0.05781,0,0,0,0,0,0.09563,0,0.45661,0.466,0,0.26591,0,0,0,0,0.15936,0,0.96758,0,0.21357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85333,0,0,0,0,0,0,0,0,0.55299,0,0,0.29874,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20504,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Catenibacterium|s__Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60252,0,0,0,0,0,0,0,0,0,0,11.38446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.18001,0,0,0,0.73828,0.11923,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241",0,0,0,0,0.00469,1.85599,0,0,0,0,0.02558,0,0,0,0,0.07322,0,0,0,0,0,0,0.13572,0,0,0,0,0.42163,0.19665,0,0,0,0,0,0,0.00932,0,0.09151,0,0,0,0.12618,0,0,0,0,0,0,0,0,0,0,0,0,0.27395,0,0.34164,0,0,0,0,0,0,4.2462,0,0,0,0,0.15512,0,0,0,0.23504,0,0,0.05765,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Hafniaceae|g__Hafnia|s__Hafnia_alvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02444,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus",0,0,0,0.03466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06122,0,0,0,0,0,0,0,0,0,0,0,0.02017,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi",0,0,0,0,0.02739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22027,0,0,0,0,0,0,0,0,0,0,0,0,0.01042,0,0,0,0,0.17874,0,0,0,0,0,0,0,0,0,0,0,0,0.11821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06378,0.01648,0,0.01634,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01405,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris",0.01222,0.00652,0,0,0,0,0,0.03625,0.08969,0,0,0.00606,0,0,0,0,0,0,0,0,0,0,0,0,0.00379,0.04918,0.01416,0.01528,0.01136,0,0,0,0,0,0,0,0,0,0,0,0.02714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00154,0,0,0,0,0.00682,0,0,0,0,0,0,0,0,0,0,0,0,0.03062,0,0.01294,0,0,0,0,0
