"","MG100208","MG100207","MG100206","MG100205","MG100204","MG100203","MG100202","MG100201","MG100200","MG100199","MG100198","MG100196","MG100195","MG100194","MG100193","MG100192","MG100191","MG100190","MG100189","MG100188","MG100187","MG100186","MG100185","MG100184","MG100182","MG100181","MG100180","MG100179","MG100178","MG100177","MG100176","MG100175","MG100174","MG100173","MG100172","MG100171","MG100170","MG100169","MG100168","MG100167","MG100166","MG100165","MG100164","MG100163","MG100162","MG100161","MG100160","MG100159","MG100158","MG100157","MG100156","MG100155","MG100154","MG100153","MG100152","MG100151","MG100150","MG100149","MG100148","MG100147","MG100146","MG100145","MG100144","MG100143","MG100142","MG100141","MG100140","MG100139","MG100138","MG100137","MG100136","MG100134","MG100133","MG100132","MG100131","MG100130","MG100129","MG100128","MG100127","MG100126","MG100125"
"Actinomycetaceae",0,0.13054,0,0.31258,0,0,0,0.10096,0.15577,0.16767,0,0.03049,0.04432,0,0,0,0.59202,0.01159,0,0,0,0,0,0.00609,0.08437,0,0.26716,0,0.01351,0,0.0123,0.12066,0,0.07208,0.00672,0,0,0,0.3418,0.07999,0.08172,0,0,0,0,0.4137,0,0.02353,0,0,0,0.02999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01269,0,0,0,0.01624,0.47263,0.26894,0.02895,0,0,0,0.04663,0,0.14115
"Bifidobacteriaceae",0,0,35.80953,0.0297,2.75269,6.60309,19.12423,0,0,0.01421,2.95713,34.13463,1.73683,0,14.5368,0,0,0,0,0,78.20376,0,1.61666,20.44854,1.89656,0,1.71099,0,7.99503,13.19574,0,30.04766,0,6.56474,0.26945,0,6.77621,41.13176,57.77258,4.37116,0,0.06908,0,36.43415,14.23225,14.87207,10.13531,0,0.70755,48.21434,14.66715,4.32924,0,0,6.58672,7.31025,0.32433,27.22602,29.73815,28.31648,4.90697,2.43378,1.77361,6.09727,0,0.74203,4.03215,4.56578,0,13.43161,0,0,16.72464,0,46.59807,4.12886,12.62047,3.10217,9.31638,0,8.0156
"Lawsonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Micrococcaceae",0,0,0,0.06244,0,0,0,0,0,0,0,0,0.49265,0,0.08573,0,0.11536,0,0,0,0,0,0,0,0,0,0.08592,0,0,0,0,0.17424,0,0.10335,0,0,0,0,0.00274,0,0,0,0,0,0,0,0,0.08909,0,0.00798,0,0,0,0,0,0,0,0,0.11432,0.00934,0.04257,0,0,0,0,0,0,0,0,0,0,0,0,0.09093,0,0,0,0,0,0.56125,0.24743
"Propionibacteriaceae",0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03334,0.01914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18189,0,0
"Atopobiaceae",0.11197,0,0,0,0,0,0,0,0,0,0,0,0.09018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coriobacteriaceae",1.97496,21.49267,21.25243,21.08656,16.93242,9.07183,2.96648,21.24215,3.98278,5.4657,10.60103,0,7.39606,0,6.79421,0.01246,0,0.12558,25.59702,0.18291,21.79624,0,5.65428,12.54603,22.64823,0,11.44491,6.60954,26.93297,0,8.27028,20.46834,3.61273,12.37586,5.86225,1.69178,5.20712,12.60195,0,11.05185,0,0,3.33886,0.40298,33.75626,28.27539,0.13989,0,0,14.55739,0,24.65751,0,0,12.65708,12.64044,0.06475,0,0,7.53837,25.8277,0.1039,0,7.2417,0,2.51071,3.38207,0,0,6.72355,7.74294,6.3059,11.78315,14.83331,14.34263,2.05688,10.89213,47.45119,10.11011,7.05855,3.00173
"Eggerthellaceae",13.4771,1.38902,0.07977,1.44597,0.73033,0.33484,0.27276,5.24087,8.95595,4.52279,1.28768,3.41266,2.26287,1.22526,0.43436,3.79332,7.17823,4.38601,1.56631,1.16206,0,5.33314,0.03647,3.76592,1.44343,7.87811,1.6019,8.59328,2.79557,4.13708,1.33314,1.35799,0.01682,0.50316,1.48838,0.34118,3.56137,0.47732,0.76282,0.26326,5.5151,0.18334,0,0,2.46288,2.00385,1.37876,3.00588,1.59384,1.67894,5.24015,2.45816,4.03537,1.4219,2.10583,1.45833,0.6027,0.89621,3.89696,0.10711,2.00556,2.32172,0.24969,0.25434,0,0.71456,0.21905,0.60189,0.66344,3.74062,0.68353,4.61081,1.61254,17.70924,2.40889,0.14698,0.94625,5.35874,1.27125,1.54962,0.64432
"Bacteroidaceae",6.87926,0.0484,0.11376,0.00844,2.22055,0.88537,1.89787,2.17935,23.56351,1.12101,4.82984,0,0,0,1.01334,1.33532,0,0.8478,1.10791,3.34601,0,0.02893,3.67276,0.00597,0.28361,2.96802,0.49021,7.58461,0.19885,0.45345,9.8522,0.01844,1.631,0.24345,0.10291,7.13208,8.15287,6.98015,0.20565,3.78058,2.4446,32.40727,0.73692,0,0.73289,5.68276,3.3049,0.84934,12.26315,0.39542,0.00732,0,0,4.95766,0.7687,0.1404,0.33362,0,0.09769,0.15423,0.53845,3.17597,1.49116,6.68269,0,0.75707,5.06622,0,0.10086,0,0,10.51364,4.3897,18.0107,0,2.12619,2.02661,1.1538,0,0,0.74746
"Barnesiellaceae",0,0,0,0,0,0,0,0,1.6321,0,0,0,0,0,0,0,0,0,0,0.05781,0,0,0,0,0,0.09563,0,0.45661,0.466,0,0.26591,0,0,0,0,0.15936,0.10242,0.96758,0,0.21357,0,0,0,0,0,0.07082,0,0,0,0,0,0,0,0,0.01231,0,0,0,0,0,0,0,0,0.85333,0,0,0,0,0,0,0,0,0.55299,0,0,0.29874,0,0,0,0,0
"Odoribacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04495,0,0,0,0.03109,0,0,0.34485,0,1.15045,0,0,0,0,0,0,0.4319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08932,0,0,0,0,0.07009,0,0,0,0.02094,0,0,0
"Porphyromonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26163,0,0.07514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70585,0,0,0,0.72128,0,0,0,0,0,0,1.24509,0
"Prevotellaceae",0,0,0,1.25354,0.04651,0,0,2.92666,0,0.10785,0,0,0,0,0,0,0,0,0,0,0,0,26.14291,0,0,0,0,0.21056,0,0,0,0.01456,0,0,0,0,0,0,0,0,0,35.85569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59271,0,0,0,0,0.02509,0,0,0,0.08145,0,0,2.21984,0.80845,0,0,0,0
"Rikenellaceae",0,0,0,0,1.17838,0.20938,0,0,0.78108,0,4.03126,0,0,0,0,1.44364,0,0,0,4.47482,0,0,0.86256,0,0.05204,0.1439,0.02804,0.12276,8.01088,0,0,0,0.02673,0.06102,0,0.53503,2.04573,2.31032,0,0.85912,1.46774,0.15459,0,0,0.1466,0.04623,0.30973,0,4.41625,0.08881,0,0,0,0,0.61825,0.66754,0,0.09164,0,0,0,0,0.55151,3.17765,0,0.07416,1.1652,0,0,0,0,0.24562,0.1966,13.40826,0,1.21424,0.23085,0.54189,0,0.22508,0.03599
"Tannerellaceae",0.22208,0,0.05185,0.02777,0.08986,0.1754,0,0.81669,0.33216,0.20426,0.04358,0,0,0,0.03016,0,0,0,0,0.15502,0,0,1.47416,0,0,0.02869,0,0.11539,0.07571,0,0.70731,0,0.06638,0,0,0.29123,1.18741,0.21848,0,0.0269,0.25791,5.30135,0,0,0,0.18433,0,0,0.73231,0,0,0,0.02393,0,0,0.03987,0.00539,0,0.24493,0,0,0.07816,0.03763,1.7223,0,0.0085,1.9901,0,0.0173,0.15194,0,0,0.67528,0.08204,0,0.4925,0.02448,0.1464,0,0,0
"Methanobacteriaceae",0,0,1.91264,0,2.12088,5.47584,0,0.43448,0,0,0,0,0,0,0,7.58714,0,0,0,1.63169,0,0,4.1816,0,0,3.08407,0.01009,3.23825,0,0,0,0.04154,3.99734,0,0,0,0,1.76247,0,0.35803,0,0,3.63518,0,0,0,0,0,0,0,0,0,0,0,4.88678,0,0,0,0,0.16822,0,0,0,0,0,1.0564,0,0,8.56939,0.40508,0,0,0,0.10064,0,3.61987,0,2.06922,0,2.65387,0
"Enterococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.10295,0,0,0,0,0,0,0,0,0,0,0,0,0.12831,0,0,0,0,0,0,0,0,0,0,0,0,0.02229,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14695,0,0,0,0,0,0.3527,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillaceae",0,0.27453,0,0.13073,0,0,0,0,0,0,0,0.09436,1.67083,0,0,0,0.14836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48138,0,0,0.17012,0,0,0,0.04903,0,0,3.52446,0,0,0,0,0,0,0,0.01258,0.01471,0,0.38456,0.01641,0,0,0.73092,0,0.25854,0,0,0,0,0,0,0.15792,0,0,0,0,0,0.00531,0,0,0,0,0,0,0
"Streptococcaceae",0,2.74909,0,4.06269,2.12735,0,0.61233,1.13913,22.50199,0.1909,0.42362,0.85395,19.69827,0,5.93981,1.16233,37.33823,3.76349,1.19508,5.08496,0,1.86326,0,0.7216,1.70653,0.03787,5.31905,1.49763,0.5613,0.77165,1.10801,1.27777,0.13501,13.41796,0.58076,0.87402,0.44595,2.91503,0.37259,2.96217,0.4082,0.29355,0.01174,11.94622,0.06174,0.55549,0.52063,2.72274,0.45611,3.10492,0.24173,0.21968,6.15764,1.32705,4.48501,3.48761,0.01218,0.03791,8.21363,8.32885,3.62987,0.75042,0.0436,0,0,0.05267,0,5.24614,0,0,0.06238,0.74818,0.09401,0.29373,0.56826,0.33234,0,0.04015,0.25951,16.94639,4.38483
"Christensenellaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03243,0,0,0.02452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00726,0.2886,0,0,0,0.06486,0,0,0
